,,,Date,Open,High,Low,Close
,,,2023-09-21,92.52,93.73,91.81,92.8
,,,2023-09-22,94.12,94.63,94.25,94.26
,,,2023-09-23,93.84,94.37,93.52,94.32
,,,2023-09-24,94,94.43,93.28,93.81
,,,2023-09-25,94.07,95.05,94.07,94.12
,,,2023-09-26,93.46,94.38,92.95,93.61
,,,2023-09-27,94.62,95.24,93.55,94.25
,,,2023-09-28,94.71,95.17,93.54,94.24
,,,2023-09-29,95.59,96.09,94.94,95.63
,,,2023-09-30,95.94,96.37,95.45,96.13
,,,2023-10-01,95.51,95.47,94.64,95.41
,,,2023-10-02,95.92,96.28,95.63,96.01
,,,2023-10-03,97.34,97.58,95.99,96.95
,,,2023-10-04,96.17,97.29,95.9,96.38
,,,2023-10-05,95.58,95.96,95.69,95.95
,,,2023-10-06,93.16,94.47,92.66,93.65
,,,2023-10-07,94.22,95.32,94.27,94.55
,,,2023-10-08,93.56,94.66,93.52,93.96
,,,2023-10-09,92.25,91.97,91.14,91.84
,,,2023-10-10,90.25,90.13,89.28,90.07
,,,2023-10-11,89.93,90.59,89.53,89.85
,,,2023-10-12,91.06,91.25,90.58,90.61
,,,2023-10-13,90.64,90.89,89.94,90.52
,,,2023-10-14,91.2,91.34,90.4,90.99
,,,2023-10-15,89.55,89.93,89.16,89.89
,,,2023-10-16,88.34,89.54,88.29,88.55
,,,2023-10-17,89.55,90.27,88.62,89.44
,,,2023-10-18,90.26,90.9,89.16,89.93
,,,2023-10-19,89.68,90.72,89.04,89.9
,,,2023-10-20,91.13,91.64,90.42,91.18
,,,2023-10-21,90.01,91.07,89.56,90.23
,,,2023-10-22,89.6,90.01,89.26,89.81
,,,2023-10-23,90.91,91.51,89.98,90.84
,,,2023-10-24,93.09,92.91,92.45,92.67
,,,2023-10-25,93.16,93.07,92.02,92.68
,,,2023-10-26,94.43,95.23,93.57,94.36
,,,2023-10-27,93.28,94.18,92.98,93.76
,,,2023-10-28,93.86,94.98,93.96,94.09
,,,2023-10-29,94.07,94.51,93.6,93.91
,,,2023-10-30,92.75,92.62,91.39,92.33
,,,2023-10-31,92.23,92.84,91.81,92.58
,,,2023-11-01,93.85,93.52,93.36,93.52
,,,2023-11-02,93.75,93.94,92.89,93.37
,,,2023-11-03,92.89,94.14,92.49,93.3
,,,2023-11-04,95.1,94.92,93.83,94.69
,,,2023-11-05,93.54,93.92,92.92,93.44
,,,2023-11-06,92.29,92.93,91.84,91.94
,,,2023-11-07,91.46,91.68,91.07,91.29
,,,2023-11-08,90.27,91.03,90.07,90.09
,,,2023-11-09,91.81,92.27,91.27,91.44
,,,2023-11-10,92.01,92.24,91.69,91.75
,,,2023-11-11,90.79,91.52,90.19,90.89
,,,2023-11-12,90.15,90.34,89.57,90.27
,,,2023-11-13,93.6,93.65,92.69,93.13
,,,2023-11-14,92.29,93.28,91.64,92.52
,,,2023-11-15,91.64,91.99,91.61,91.76
,,,2023-11-16,91.71,92.12,91.87,92.06
,,,2023-11-17,92.54,92.73,92.09,92.7
,,,2023-11-18,93.01,93.08,92.4,92.92
,,,2023-11-19,91.71,92.25,91.89,92.02
,,,2023-11-20,90.78,91.66,89.95,90.86
,,,2023-11-21,91.56,91.91,90.83,91.45
,,,2023-11-22,91.28,91.93,90.79,91.4
,,,2023-11-23,90.01,90.07,89.38,89.76
,,,2023-11-24,90.94,91.23,90.32,90.93
,,,2023-11-25,91.53,92.26,91.63,91.7
,,,2023-11-26,91.69,92.21,91.16,91.46
,,,2023-11-27,91.26,91.38,90.57,91.2
,,,2023-11-28,91.38,91.87,90.83,91.43
,,,2023-11-29,90.41,91.39,90.22,90.75
,,,2023-11-30,89.88,90.36,89.34,89.4
,,,2023-12-01,89.39,89.99,89.4,89.72
,,,2023-12-02,88.17,88.67,87.3,88.28
,,,2023-12-03,88.76,89.24,87.73,88.67
,,,2023-12-04,87.66,87.37,86.41,87.23
,,,2023-12-05,86.93,87.74,87.07,87.13
,,,2023-12-06,86.61,87.97,86.92,87
,,,2023-12-07,88.99,89.05,88.57,88.78
,,,2023-12-08,88.17,88.19,86.89,87.71
,,,2023-12-09,86.25,86.42,86.1,86.3
,,,2023-12-10,86.15,86.17,85.43,85.65
,,,2023-12-11,84.35,85.5,84.27,84.53
,,,2023-12-12,84.32,84.48,83.21,83.94
,,,2023-12-13,83.86,84.57,83.83,84.36
,,,2023-12-14,85.31,85.44,84.27,85.13
,,,2023-12-15,87.18,87.42,86.72,86.79
,,,2023-12-16,85.84,86.91,86,86.06
,,,2023-12-17,89.04,89.15,87.85,88.69
,,,2023-12-18,90.78,91.17,90.57,90.68
,,,2023-12-19,90.29,91.28,89.76,90.47
,,,2023-12-20,87.72,88.29,87.58,88.18
,,,2023-12-21,88.26,89.05,87.89,88.1
,,,2023-12-22,88.05,88.64,87.91,88.17
,,,2023-12-23,85.91,86.2,85.13,85.87
,,,2023-12-24,85.64,86.72,85.92,85.95
,,,2023-12-25,85.26,86,84.79,85.74
,,,2023-12-26,84.56,85.11,84.91,84.96
,,,2023-12-27,85.73,85.84,85.42,85.59
,,,2023-12-28,86.22,87.26,85.95,86.59
,,,2023-12-29,85.9,86.21,85.99,86.11
,,,2023-12-30,86.43,86.79,85.34,86.33
,,,2023-12-31,85.45,85.92,85.25,85.68
,,,2024-01-01,84.87,85.44,84.82,84.89
,,,2024-01-02,84.89,85.11,84.81,84.97
,,,2024-01-03,85.77,86.27,84.95,85.5
,,,2024-01-04,84.84,85.86,84.06,84.93
,,,2024-01-05,82.5,83.04,82.46,82.72
,,,2024-01-06,83.79,83.66,82.91,83.3
,,,2024-01-07,81.38,82.31,81.14,81.71
,,,2024-01-08,81.97,82.57,81.18,81.83
,,,2024-01-09,83.73,83.67,82.89,83.61
,,,2024-01-10,83.44,84.27,83.27,83.59
,,,2024-01-11,82.65,83.22,82.03,82.4
,,,2024-01-12,81.2,81.73,80.07,80.94
,,,2024-01-13,82.09,82.55,81.21,82.11
,,,2024-01-14,81.92,82.92,81.68,82.1
,,,2024-01-15,82.25,83.18,81.64,82.63
,,,2024-01-16,83.93,83.75,83.39,83.56
,,,2024-01-17,84,83.8,82.69,83.51
,,,2024-01-18,82.98,83.8,82.29,83.2
,,,2024-01-19,82.08,82.81,81.69,82.26
,,,2024-01-20,79.32,79.98,78.48,79.17
,,,2024-01-21,77.93,78.37,77.6,77.66
,,,2024-01-22,77.93,77.8,76.74,77.59
,,,2024-01-23,77.68,77.81,76.73,77.41
,,,2024-01-24,77.99,78.59,77.24,77.81
,,,2024-01-25,77.81,78.15,77.11,77.69
,,,2024-01-26,77.36,78.07,77.69,77.85
,,,2024-01-27,78.62,79.57,77.79,78.63
,,,2024-01-28,77.96,78.2,77.22,77.75
,,,2024-01-29,77.27,77.77,76.85,77.46
,,,2024-01-30,75.6,76.37,75.69,75.86
,,,2024-01-31,76.74,77.13,76.2,76.83
,,,2024-02-01,76.91,77.14,76.63,76.87
,,,2024-02-02,76.87,78.02,76.59,77.36
,,,2024-02-03,79.15,79.69,78.87,78.9
,,,2024-02-04,80.19,80.39,79.85,79.98
